id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,EN,772,E772
ICN,VU,773,E773
ICN,EN,774,E774
ICN,EN,775,E775
ICN,VU,776,E776
ICN,VU,777,E777
ICN,VU,778,E778
ICN,VU,779,E779
ICN,EN,780,E780
ICN,VU,781,E781
ICN,VU,782,E782
ICN,VU,783,E783
ICN,VU,784,E784
ICN,VU,785,E785
ICN,VU,786,E786
ICN,VU,787,E787
ICN,EN,788,E788
ICN,VU,789,E789
ICN,VU,790,E790
ICN,EN,791,E791
ICN,CR,792,E792
ICN,VU,793,E793
ICN,VU,794,E794
ICN,EN,795,E795
ICN,VU,796,E796
ICN,VU,797,E797
ICN,VU,798,E798
ICN,VU,799,E799
ICN,CR,800,E800
ICN,VU,801,E801
ICN,EN,802,E802
ICN,EN,803,E803
ICN,CR,804,E804
ICN,VU,805,E805
ICN,EN,806,E806
ICN,CR,807,E807
ICN,VU,808,E808
ICN,CR,809,E809
ICN,EN,810,E810
ICN,VU,811,E811
ICN,EN,812,E812
ICN,CR,813,E813
ICN,CR,814,E814
ICN,CR,815,E815
ICN,VU,816,E816
ICN,CR,817,E817
ICN,VU,818,E818
ICN,EN,819,E819
ICN,VU,820,E820
ICN,EN,821,E821
ICN,VU,822,E822
ICN,VU,823,E823
ICN,VU,824,E824
ICN,EN,825,E825
ICN,VU,826,E826
ICN,VU,827,E827
ICN,EN,828,E828
ICN,CR,829,E829
ICN,VU,830,E830
ICN,VU,831,E831
ICN,VU,832,E832
ICN,VU,833,E833
ICN,EN,834,E834
ICN,EN,835,E835
ICN,EN,836,E836
ICN,VU,837,E837
ICN,VU,838,E838
ICN,CR,839,E839
ICN,EN,840,E840
ICN,CR,841,E841
ICN,VU,842,E842
ICN,CR,843,E843
ICN,CR,844,E844
ICN,CR,845,E845
ICN,EN,846,E846
ICN,EN,847,E847
ICN,VU,848,E848
ICN,EN,849,E849
ICN,EN,850,E850
ICN,EN,851,E851
ICN,CR,852,E852
ICN,VU,853,E853
ICN,VU,854,E854
ICN,VU,855,E855
ICN,CR,856,E856
ICN,CR,857,E857
ICN,CR,858,E858
ICN,VU,859,E859
ICN,VU,860,E860
ICN,VU,861,E861
ICN,VU,862,E862
ICN,VU,863,E863
ICN,CR,864,E864
ICN,CR,865,E865
ICN,VU,866,E866
ICN,CR,867,E867
ICN,EN,868,E868
ICN,EN,869,E869
ICN,EN,870,E870
ICN,EN,871,E871
ICN,EN,872,E872
ICN,VU,873,E873
ICN,VU,874,E874
ICN,VU,875,E875
ICN,EN,876,E876
ICN,EN,877,E877
ICN,VU,878,E878
ICN,VU,879,E879
ICN,VU,880,E880
ICN,EN,881,E881
ICN,VU,882,E882
ICN,EN,883,E883
ICN,CR,884,E884
ICN,EN,885,E885
ICN,VU,886,E886
ICN,VU,887,E887
ICN,VU,888,E888
ICN,EN,889,E889
ICN,EN,890,E890
ICN,EN,891,E891
ICN,CR,892,E892
ICN,EN,893,E893
ICN,CR,894,E894
ICN,CR,895,E895
ICN,EN,896,E896
ICN,CR,897,E897
ICN,VU,898,E898
ICN,VU,899,E899
ICN,EN,900,E900
ICN,CR,901,E901
ICN,CR,902,E902
ICN,CR,903,E903
ICN,EN,904,E904
ICN,EN,905,E905
ICN,CR,906,E906
ICN,CR,907,E907
ICN,VU,908,E908
ICN,CR,909,E909
ICN,CR,910,E910
ICN,CR,911,E911
ICN,VU,912,E912
ICN,EN,913,E913
ICN,VU,914,E914
ICN,CR,915,E915
ICN,EN,916,E916
ICN,VU,917,E917
ICN,EN,918,E918
ICN,EN,919,E919
ICN,EN,920,E920
ICN,EN,921,E921
ICN,EN,922,E922
ICN,CR,923,E923
ICN,CR,924,E924
ICN,EN,925,E925
ICN,CR,926,E926
ICN,CR,927,E927
ICN,VU,928,E928
ICN,CR,929,E929
ICN,EN,930,E930
ICN,CR,931,E931
ICN,EN,932,E932
ICN,CR,933,E933
ICN,EN,934,E934
ICN,VU,935,E935
ICN,EN,936,E936
ICN,EN,937,E937
ICN,EN,938,E938
ICN,EN,939,E939
ICN,EN,940,E940
ICN,CR,941,E941
ICN,EN,942,E942
ICN,EN,943,E943
ICN,VU,944,E944
ICN,EN,945,E945
ICN,EN,946,E946
ICN,CR,947,E947
ICN,CR,948,E948
ICN,CR,949,E949
ICN,CR,950,E950
ICN,CR,951,E951
ICN,EN,952,E952
ICN,CR,953,E953
ICN,CR,954,E954
ICN,CR,955,E955
ICN,CR,956,E956
ICN,EN,957,E957
ICN,CR,958,E958
ICN,VU,959,E959
ICN,EN,960,E960
ICN,CR,961,E961
ICN,EN,962,E962
ICN,EN,963,E963
ICN,CR,964,E964
ICN,EN,965,E965
ICN,EN,966,E966
ICN,CR,967,E967
ICN,VU,968,E968
ICN,CR,969,E969
ICN,CR,970,E970
ICN,CR,971,E971
ICN,CR,972,E972
ICN,EN,973,E973
ICN,EN,974,E974
ICN,CR,975,E975
ICN,EN,976,E976
ICN,CR,977,E977
ICN,CR,978,E978
ICN,VU,979,E979
ICN,EN,980,E980
ICN,VU,981,E981
ICN,CR,982,E982
ICN,EN,983,E983
ICN,VU,984,E984
ICN,CR,985,E985
ICN,CR,986,E986
ICN,VU,987,E987
