codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
990,Oxandra,oblongifolia,NA,NA,CS990
991,Pseudoxandra,sclerocarpa,NA,NA,CS991
992,Pseudoxandra,vallicola,NA,Cargadero,CS992
993,Unonopsis,megalophylla,NA,Garrapata,CS993
994,Magnolia,arcabucoana,NA,Magnolio de Arcabuco,CS994
995,Magnolia,argyrothricha,NA,Totumo,CS995
996,Magnolia,calimaensis,NA,Almanegra del Calima,CS996
997,Magnolia,calophylla,NA,Cucharillo de Barbacoas,CS997
998,Magnolia,cararensis,NA,Almanegra de Tamá,CS998
999,Magnolia,caricaefragrans,NA,Hojarasco Apiorruncho,CS999
1000,Magnolia,cespedesii,NA,Molinillo Cape,CS1000
1001,Magnolia,chimantensis,NA,Magnolio de los Yariguíes,CS1001
1002,Magnolia,chocoensis,NA,Copachí de Tatamá,CS1002
1003,Magnolia,colombiana,NA,Almanegra de Los Guácharos,CS1003
1004,Magnolia,coronata,NA,NA,CS1004
1005,Magnolia,espinalii,NA,Hojarasco del Espinal,CS1005
1006,Magnolia,georgii,NA,Cucharo de la cordillera Oriental,CS1006
1007,Magnolia,gilbertoi,NA,Hojarasco de Gilberto,CS1007
1008,Magnolia,guatapensis,NA,Almanegra de Guatapé,CS1008
1009,Magnolia,henaoi,NA,Hojarasco de Henao,CS1009
1010,Magnolia,hernandezii,NA,Molinillo del río Cauca,CS1010
1011,Magnolia,jardinensis,NA,NA,CS1011
1012,Magnolia,katiorum,NA,Almanegra de Urabá,CS1012
1013,Magnolia,lenticellata,NA,Almanegra de Las Orquídeas,CS1013
1014,Magnolia,mahechae,NA,Laurel Almanegra,CS1014
1015,Magnolia,narinensis,NA,Cucharillo,CS1015
1016,Magnolia,neomagnifolia,NA,Molinillo charambirá,CS1016
1017,Magnolia,polyhypsophylla,NA,Almanegra de ventanas,CS1017
1018,Magnolia,rimachii,NA,NA,CS1018
1019,Magnolia,sambuensis,NA,Molinillo Guanábano,CS1019
1020,Magnolia,santanderiana,NA,Magnolio de Santander,CS1020
1021,Magnolia,silvioi,NA,Guanábano de Monte,CS1021
1022,Magnolia,striatifolia,NA,Palo cucharillo,CS1022
1023,Magnolia,urraoensis,NA,Almanegra de Urrao,CS1023
1024,Magnolia,virolinensis,NA,Platero,CS1024
1025,Magnolia,wolfii,NA,Hojarasco de Santa Rosa,CS1025
1026,Magnolia,yarumalensis,NA,Almanegra de Yarumal,CS1026
1027,Compsoneura,anoriensis,NA,Castaño de Anorí,CS1027
1028,Iryanthera,megistocarpa,NA,Sota,CS1028
1029,Otoba,acuminata,NA,Otobo,CS1029
1030,Otoba,lehmannii,NA,Cuángare otobo,CS1030
1031,Virola,dixonii,NA,Cuángare de Dixon,CS1031
1032,Peperomia,andrei,NA,NA,CS1032
1033,Peperomia,santanderana,NA,NA,CS1033
1034,Piper,insignilaminum,NA,NA,CS1034
1035,Piper,sabaletasanum,NA,NA,CS1035
1036,Piper,subtomentosum,NA,NA,CS1036
1037,Meliosma,antioquiensis,NA,NA,CS1037
1038,Meliosma,caucana,NA,NA,CS1038
1039,Meliosma,cundinamarcensis,NA,Baboso | Babillo | Calabazo,CS1039
1040,Meliosma,glossophylla,NA,Granadillo,CS1040
1041,Meliosma,lindae,NA,NA,CS1041
1042,Berberis,carupensis,NA,NA,CS1042
1043,Berberis,cuatrecasasii,NA,NA,CS1043
