CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS241,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS242,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS243,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS244,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS245,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS246,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS247,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS248,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS249,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS250,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS251,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS252,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS253,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS254,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS255,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS256,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS257,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS258,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS259,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS260,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS261,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS262,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS263,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS264,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS265,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS266,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS267,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS268,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS269,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS270,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS271,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS272,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS273,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS274,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS275,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS276,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS277,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS278,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS279,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS280,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS281,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS282,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS283,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS284,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS285,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS286,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS287,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS288,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS289,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS290,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS291,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS292,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS293,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS294,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS295,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS296,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS297,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS298,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS299,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS300,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS301,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS302,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS303,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS304,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS305,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS306,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS307,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS308,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS309,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS310,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS311,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS312,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS313,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS314,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS315,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS316,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS317,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS318,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS319,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS320,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS321,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS322,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS323,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS324,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS325,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS326,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS327,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS328,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS329,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS330,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS331,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS332,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS333,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS334,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS335,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS336,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS337,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS338,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS339,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS340,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS341,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
