Intraespecificidad epiteto,,,,
CODIGO INTERESPECIFIDAD,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,NOMBRE VERNACULO
478,Mesosphaerum,obtusatum,NA,Mastranto azul de Nariño
479,Mesosphaerum,perbullatum,NA,Mastranto azul del Chicamocha
480,Salvia,alvajaca,NA,Salvia panameña
481,Salvia,ampelophylla,NA,Salvión morado de Cauca
482,Salvia,carbonoi,NA,Salvia de Carbonó
483,Salvia,chicamochae,NA,Salvia azul del Chicamocha
484,Salvia,cocuyana,NA,Amarguera del Cocuy
485,Salvia,codazziana,NA,Salvia de Codazzi
486,Salvia,corrugata,NA,Salvia corrugada
487,Salvia,cyanotropha,NA,Salvia lanosa de Ocaña
488,Salvia,falcata,NA,Salvia roja de Talauta
489,Salvia,funckii,NA,Salvia de Funck
490,Salvia,hermesiana,NA,Salvia del Cerro Pintado
491,Salvia,jaramilloi,NA,Salvia de Jaramillo
492,Salvia,libanensis,NA,Salvia de San Lorenzo
493,Salvia,macrostachya,NA,Salviarrial
494,Salvia,manaurica,NA,Salvia de Manaure
495,Salvia,nubigena,NA,Salvia de las nubes
496,Salvia,pamplonitana,NA,Salvia de Pamplonita
497,Salvia,paramicola,NA,Dominico del Almordero
498,Salvia,rubriflora,NA,Salvia hoja de flecha
499,Salvia,sagittata,NA,Salvia sagitana del sur
500,Salvia,sciaphila,NA,Salvia de las sombras
501,Salvia,sochensis,NA,Salvia de Socha
502,Salvia,sordida,NA,NA
503,Salvia,tolimensis,NA,Salvia púrpura del Tolima
504,Salvia,uribei,NA,Amarguera azul
505,Salvia,venulosa,NA,Salvia vinosa de Risaralda
506,Salvia,xeropapillosa,NA,Amarguera papilosa
507,Satureja,anachoreta,NA,Alhucema del Cerro Pintado
508,Scutellaria,cuatrecasana,NA,Escutelaria de Cuatrecasas
509,Scutellaria,hookeri,NA,Escutelaria de Hooker
510,Scutellaria,parrae,NA,Escutelaria de parra
511,Scutellaria,pseudocoleus,NA,Albahacón morado
512,Scutellaria,roseocyanea,NA,Escutelaria de Dabeiba
513,Stachys,radicans,NA,Bretónica rastrera
514,Vitex,columbiensis,NA,Aceituno
515,Chionanthus,abriaquiensis,NA,NA
516,Aragoa,abscondita,NA,NA
517,Aragoa,corrugatifolia,NA,NA
518,Aragoa,cupressina,NA,NA
519,Aragoa,dugandii,NA,NA
520,Aragoa,hammenii,NA,NA
521,Aragoa,parviflora,NA,NA
522,Aragoa,perez-arbelaeziana,NA,NA
523,Aragoa,picachensis,NA,NA
524,Citharexylum,vallense,NA,NA
525,Metteniusa,cundinamarcensis,NA,NA
526,Metteniusa,huilensis,NA,NA
527,Metteniusa,santanderensis,NA,NA
528,Cestrum,killipii,NA,NA
529,Solanum,humboldtianum,NA,NA
530,Browningia,hernandezii,NA,Dato | Canelón
531,Cephalotomandra,fragrans,NA,Talco
532,Guapira,uberrima,NA,NA
533,Triplaris,purdiei,NA,NA
534,Tripodanthus,belmirensis,NA,NA
535,Phoradendron,longissimum,NA,NA
536,Phoradendron,lorifolium,NA,NA
